,wlobscd,ymdhm,wl,fw,links
0,1018610,201407312350,1.06,163.60,[]
1,1018610,201407312340,1.06,163.60,[]
2,1018610,201407312330,1.06,163.60,[]
3,1018610,201407312320,1.06,163.60,[]
4,1018610,201407312310,1.06,163.60,[]
5,1018610,201407312300,1.06,163.60,[]
6,1018610,201407312250,1.07,170.67,[]
7,1018610,201407312240,1.07,170.67,[]
8,1018610,201407312230,1.07,170.67,[]
9,1018610,201407312220,1.07,170.67,[]
10,1018610,201407312210,1.07,170.67,[]
11,1018610,201407312200,1.07,170.67,[]
12,1018610,201407312150,1.07,170.67,[]
13,1018610,201407312140,1.08,177.84,[]
14,1018610,201407312130,1.08,177.84,[]
15,1018610,201407312120,1.08,177.84,[]
16,1018610,201407312110,1.09,185.12,[]
17,1018610,201407312100,1.09,185.12,[]
18,1018610,201407312050,1.10,192.51,[]
19,1018610,201407312040,1.11,200.00,[]
20,1018610,201407312030,1.12,207.60,[]
21,1018610,201407312020,1.13,215.31,[]
22,1018610,201407312010,1.15,231.03,[]
23,1018610,201407312000,1.16,239.04,[]
24,1018610,201407311950,1.19,263.67,[]
25,1018610,201407311940,1.22,289.18,[]
26,1018610,201407311930,1.25,315.55,[]
27,1018610,201407311920,1.29,352.01,[]
28,1018610,201407311910,1.32,380.32,[]
29,1018610,201407311900,1.32,380.32,[]
30,1018610,201407311850,1.32,380.32,[]
31,1018610,201407311840,1.32,380.32,[]
32,1018610,201407311830,1.32,380.32,[]
33,1018610,201407311820,1.30,361.36,[]
34,1018610,201407311810,1.29,352.01,[]
35,1018610,201407311800,1.29,352.01,[]
36,1018610,201407311750,1.29,352.01,[]
37,1018610,201407311740,1.29,352.01,[]
38,1018610,201407311730,1.29,352.01,[]
39,1018610,201407311720,1.29,352.01,[]
40,1018610,201407311710,1.29,352.01,[]
41,1018610,201407311700,1.29,352.01,[]
42,1018610,201407311650,1.28,342.76,[]
43,1018610,201407311640,1.27,333.60,[]
44,1018610,201407311630,1.27,333.60,[]
45,1018610,201407311620,1.26,324.53,[]
46,1018610,201407311610,1.26,324.53,[]
47,1018610,201407311600,1.26,324.53,[]
48,1018610,201407311550,1.26,324.53,[]
49,1018610,201407311540,1.26,324.53,[]
50,1018610,201407311530,1.25,315.55,[]
51,1018610,201407311520,1.25,315.55,[]
52,1018610,201407311510,1.25,315.55,[]
53,1018610,201407311500,1.23,297.87,[]
54,1018610,201407311450,1.23,297.87,[]
55,1018610,201407311440,1.23,297.87,[]
56,1018610,201407311430,1.23,297.87,[]
57,1018610,201407311420,1.22,289.18,[]
58,1018610,201407311410,1.20,272.07,[]
59,1018610,201407311400,1.17,247.15,[]
60,1018610,201407311350,1.14,223.12,[]
61,1018610,201407311340,1.10,192.51,[]
62,1018610,201407311330,1.06,163.60,[]
63,1018610,201407311320,1.05,156.65,[]
64,1018610,201407311310,1.05,156.65,[]
65,1018610,201407311300,1.05,156.65,[]
66,1018610,201407311250,1.05,156.65,[]
67,1018610,201407311240,1.05,156.65,[]
68,1018610,201407311230,1.05,156.65,[]
69,1018610,201407311220,1.05,156.65,[]
70,1018610,201407311210,1.05,156.65,[]
71,1018610,201407311200,1.05,156.65,[]
72,1018610,201407311150,1.05,156.65,[]
73,1018610,201407311140,1.05,156.65,[]
74,1018610,201407311130,1.05,156.65,[]
75,1018610,201407311120,1.05,156.65,[]
76,1018610,201407311110,1.05,156.65,[]
77,1018610,201407311100,1.05,156.65,[]
78,1018610,201407311050,1.05,156.65,[]
79,1018610,201407311040,1.05,156.65,[]
80,1018610,201407311030,1.05,156.65,[]
81,1018610,201407311020,1.05,156.65,[]
82,1018610,201407311010,1.05,156.65,[]
83,1018610,201407311000,1.05,156.65,[]
84,1018610,201407310950,1.05,156.65,[]
85,1018610,201407310940,1.05,156.65,[]
86,1018610,201407310930,1.05,156.65,[]
87,1018610,201407310920,1.05,156.65,[]
88,1018610,201407310910,1.05,156.65,[]
89,1018610,201407310900,1.05,156.65,[]
90,1018610,201407310850,1.05,156.65,[]
91,1018610,201407310840,1.05,156.65,[]
92,1018610,201407310830,1.05,156.65,[]
93,1018610,201407310820,1.05,156.65,[]
94,1018610,201407310810,1.05,156.65,[]
95,1018610,201407310800,1.05,156.65,[]
96,1018610,201407310750,1.05,156.65,[]
97,1018610,201407310740,1.05,156.65,[]
98,1018610,201407310730,1.05,156.65,[]
99,1018610,201407310720,1.05,156.65,[]
100,1018610,201407310710,1.05,156.65,[]
101,1018610,201407310700,1.05,156.65,[]
102,1018610,201407310650,1.05,156.65,[]
103,1018610,201407310640,1.05,156.65,[]
104,1018610,201407310630,1.05,156.65,[]
105,1018610,201407310620,1.05,156.65,[]
106,1018610,201407310610,1.06,163.60,[]
107,1018610,201407310600,1.06,163.60,[]
108,1018610,201407310550,1.06,163.60,[]
109,1018610,201407310540,1.06,163.60,[]
110,1018610,201407310530,1.06,163.60,[]
