,wlobscd,ymdhm,wl,fw,links
0,1018610,201605312350,1.04,149.81,[]
1,1018610,201605312340,1.04,149.81,[]
2,1018610,201605312330,1.05,156.65,[]
3,1018610,201605312320,1.05,156.65,[]
4,1018610,201605312310,1.05,156.65,[]
5,1018610,201605312300,1.05,156.65,[]
6,1018610,201605312250,1.05,156.65,[]
7,1018610,201605312240,1.05,156.65,[]
8,1018610,201605312230,1.05,156.65,[]
9,1018610,201605312220,1.06,163.60,[]
10,1018610,201605312210,1.06,163.60,[]
11,1018610,201605312200,1.06,163.60,[]
12,1018610,201605312150,1.06,163.60,[]
13,1018610,201605312140,1.07,170.67,[]
14,1018610,201605312130,1.08,177.84,[]
15,1018610,201605312120,1.09,185.12,[]
16,1018610,201605312110,1.11,200.00,[]
17,1018610,201605312100,1.13,215.31,[]
18,1018610,201605312050,1.16,239.04,[]
19,1018610,201605312040,1.20,272.07,[]
20,1018610,201605312030,1.24,306.66,[]
21,1018610,201605312020,1.29,352.01,[]
22,1018610,201605312010,1.31,370.79,[]
23,1018610,201605312000,1.31,370.79,[]
24,1018610,201605311950,1.31,370.79,[]
25,1018610,201605311940,1.31,370.79,[]
26,1018610,201605311930,1.31,370.79,[]
27,1018610,201605311920,1.31,370.79,[]
28,1018610,201605311910,1.31,370.79,[]
29,1018610,201605311900,1.31,370.79,[]
30,1018610,201605311850,1.31,370.79,[]
31,1018610,201605311840,1.31,370.79,[]
32,1018610,201605311830,1.31,370.79,[]
33,1018610,201605311820,1.31,370.79,[]
34,1018610,201605311810,1.31,370.79,[]
35,1018610,201605311800,1.31,370.79,[]
36,1018610,201605311750,1.31,370.79,[]
37,1018610,201605311740,1.31,370.79,[]
38,1018610,201605311730,1.30,361.36,[]
39,1018610,201605311720,1.30,361.36,[]
40,1018610,201605311710,1.30,361.36,[]
41,1018610,201605311700,1.30,361.36,[]
42,1018610,201605311650,1.30,361.36,[]
43,1018610,201605311640,1.29,352.01,[]
44,1018610,201605311630,1.29,352.01,[]
45,1018610,201605311620,1.28,342.76,[]
46,1018610,201605311610,1.28,342.76,[]
47,1018610,201605311600,1.27,333.60,[]
48,1018610,201605311550,1.26,324.53,[]
49,1018610,201605311540,1.24,306.66,[]
50,1018610,201605311530,1.22,289.18,[]
51,1018610,201605311520,1.21,280.58,[]
52,1018610,201605311510,1.21,280.58,[]
53,1018610,201605311500,1.21,280.58,[]
54,1018610,201605311450,1.22,289.18,[]
55,1018610,201605311440,1.22,289.18,[]
56,1018610,201605311430,1.23,297.87,[]
57,1018610,201605311420,1.23,297.87,[]
58,1018610,201605311410,1.23,297.87,[]
59,1018610,201605311400,1.23,297.87,[]
60,1018610,201605311350,1.20,272.07,[]
61,1018610,201605311340,1.17,247.15,[]
62,1018610,201605311330,1.13,215.31,[]
63,1018610,201605311320,1.09,185.12,[]
64,1018610,201605311310,1.07,170.67,[]
65,1018610,201605311300,1.07,170.67,[]
66,1018610,201605311250,1.07,170.67,[]
67,1018610,201605311240,1.07,170.67,[]
68,1018610,201605311230,1.07,170.67,[]
69,1018610,201605311220,1.07,170.67,[]
70,1018610,201605311210,1.07,170.67,[]
71,1018610,201605311200,1.07,170.67,[]
72,1018610,201605311150,1.07,170.67,[]
73,1018610,201605311140,1.07,170.67,[]
74,1018610,201605311130,1.07,170.67,[]
75,1018610,201605311120,1.07,170.67,[]
76,1018610,201605311110,1.06,163.60,[]
77,1018610,201605311100,1.06,163.60,[]
78,1018610,201605311050,1.06,163.60,[]
79,1018610,201605311040,1.06,163.60,[]
80,1018610,201605311030,1.06,163.60,[]
81,1018610,201605311020,1.06,163.60,[]
82,1018610,201605311010,1.06,163.60,[]
83,1018610,201605311000,1.05,156.65,[]
84,1018610,201605310950,1.04,149.81,[]
85,1018610,201605310940,1.03,143.08,[]
86,1018610,201605310930,1.02,136.47,[]
87,1018610,201605310920,1.02,136.47,[]
88,1018610,201605310910,1.02,136.47,[]
89,1018610,201605310900,1.02,136.47,[]
90,1018610,201605310850,1.02,136.47,[]
91,1018610,201605310840,1.02,136.47,[]
92,1018610,201605310830,1.02,136.47,[]
93,1018610,201605310820,1.02,136.47,[]
94,1018610,201605310810,1.02,136.47,[]
95,1018610,201605310800,1.02,136.47,[]
96,1018610,201605310750,1.02,136.47,[]
97,1018610,201605310740,1.02,136.47,[]
98,1018610,201605310730,1.02,136.47,[]
99,1018610,201605310720,1.02,136.47,[]
100,1018610,201605310710,1.02,136.47,[]
101,1018610,201605310700,1.02,136.47,[]
102,1018610,201605310650,1.02,136.47,[]
103,1018610,201605310640,1.02,136.47,[]
104,1018610,201605310630,1.02,136.47,[]
105,1018610,201605310620,1.02,136.47,[]
106,1018610,201605310610,1.02,136.47,[]
107,1018610,201605310600,1.02,136.47,[]
108,1018610,201605310550,1.02,136.47,[]
109,1018610,201605310540,1.02,136.47,[]
110,1018610,201605310530,1.03,143.08,[]
111,1018610,201605310520,1.03,143.08,[]
112,1018610,201605310510,1.03,143.08,[]
113,1018610,201605310500,1.03,143.08,[]
114,1018610,201605310450,1.03,143.08,[]
115,1018610,201605310440,1.03,143.08,[]
116,1018610,201605310430,1.03,143.08,[]
117,1018610,201605310420,1.03,143.08,[]
118,1018610,201605310410,1.03,143.08,[]
119,1018610,201605310400,1.03,143.08,[]
120,1018610,201605310350,1.03,143.08,[]
121,1018610,201605310340,1.03,143.08,[]
122,1018610,201605310330,1.03,143.08,[]
123,1018610,201605310320,1.03,143.08,[]
124,1018610,201605310310,1.03,143.08,[]
125,1018610,201605310300,1.03,143.08,[]
126,1018610,201605310250,1.03,143.08,[]
127,1018610,201605310240,1.03,143.08,[]
128,1018610,201605310230,1.04,149.81,[]
129,1018610,201605310220,1.04,149.81,[]
130,1018610,201605310210,1.04,149.81,[]
131,1018610,201605310200,1.04,149.81,[]
132,1018610,201605310150,1.04,149.81,[]
133,1018610,201605310140,1.04,149.81,[]
134,1018610,201605310130,1.04,149.81,[]
135,1018610,201605310120,1.04,149.81,[]
136,1018610,201605310110,1.04,149.81,[]
137,1018610,201605310100,1.04,149.81,[]
138,1018610,201605310050,1.04,149.81,[]
139,1018610,201605310040,1.04,149.81,[]
140,1018610,201605310030,1.04,149.81,[]
141,1018610,201605310020,1.05,156.65,[]
142,1018610,201605310010,1.05,156.65,[]
143,1018610,201605310000,1.05,156.65,[]
144,1018610,201605302350,1.05,156.65,[]
