,wlobscd,ymdhm,wl,fw,links
0,1018610,201409302350,1.07,170.67,[]
1,1018610,201409302340,1.07,170.67,[]
2,1018610,201409302330,1.07,170.67,[]
3,1018610,201409302320,1.07,170.67,[]
4,1018610,201409302310,1.08,177.84,[]
5,1018610,201409302300,1.08,177.84,[]
6,1018610,201409302250,1.08,177.84,[]
7,1018610,201409302240,1.08,177.84,[]
8,1018610,201409302230,1.08,177.84,[]
9,1018610,201409302220,1.09,185.12,[]
10,1018610,201409302210,1.09,185.12,[]
11,1018610,201409302200,1.09,185.12,[]
12,1018610,201409302150,1.10,192.51,[]
13,1018610,201409302140,1.10,192.51,[]
14,1018610,201409302130,1.11,200.00,[]
15,1018610,201409302120,1.12,207.60,[]
16,1018610,201409302110,1.14,223.12,[]
17,1018610,201409302100,1.15,231.03,[]
18,1018610,201409302050,1.17,247.15,[]
19,1018610,201409302040,1.20,272.07,[]
20,1018610,201409302030,1.23,297.87,[]
21,1018610,201409302020,1.27,333.60,[]
22,1018610,201409302010,1.27,333.60,[]
23,1018610,201409302000,1.27,333.60,[]
24,1018610,201409301950,1.27,333.60,[]
25,1018610,201409301940,1.27,333.60,[]
26,1018610,201409301930,1.27,333.60,[]
27,1018610,201409301920,1.27,333.60,[]
28,1018610,201409301910,1.27,333.60,[]
29,1018610,201409301900,1.27,333.60,[]
30,1018610,201409301850,1.27,333.60,[]
31,1018610,201409301840,1.27,333.60,[]
32,1018610,201409301830,1.27,333.60,[]
33,1018610,201409301820,1.27,333.60,[]
34,1018610,201409301810,1.27,333.60,[]
35,1018610,201409301800,1.27,333.60,[]
36,1018610,201409301750,1.27,333.60,[]
37,1018610,201409301740,1.27,333.60,[]
38,1018610,201409301730,1.27,333.60,[]
39,1018610,201409301720,1.27,333.60,[]
40,1018610,201409301710,1.27,333.60,[]
41,1018610,201409301700,1.27,333.60,[]
42,1018610,201409301650,1.26,324.53,[]
43,1018610,201409301640,1.26,324.53,[]
44,1018610,201409301630,1.26,324.53,[]
45,1018610,201409301620,1.25,315.55,[]
46,1018610,201409301610,1.25,315.55,[]
47,1018610,201409301600,1.24,306.66,[]
48,1018610,201409301550,1.23,297.87,[]
49,1018610,201409301540,1.22,289.18,[]
50,1018610,201409301530,1.21,280.58,[]
51,1018610,201409301520,1.21,280.58,[]
52,1018610,201409301510,1.21,280.58,[]
53,1018610,201409301500,1.21,280.58,[]
54,1018610,201409301450,1.20,272.07,[]
55,1018610,201409301440,1.19,263.67,[]
56,1018610,201409301430,1.18,255.36,[]
57,1018610,201409301420,1.18,255.36,[]
58,1018610,201409301410,1.17,247.15,[]
59,1018610,201409301400,1.16,239.04,[]
60,1018610,201409301350,1.14,223.12,[]
61,1018610,201409301340,1.12,207.60,[]
62,1018610,201409301330,1.10,192.51,[]
63,1018610,201409301320,1.09,185.12,[]
64,1018610,201409301310,1.09,185.12,[]
65,1018610,201409301300,1.10,192.51,[]
66,1018610,201409301250,1.12,207.60,[]
67,1018610,201409301240,1.14,223.12,[]
