,wlobscd,ymdhm,wl,fw,links
0,1018640,202207312350,1.26,566.07,[]
1,1018640,202207312340,1.25,573.54,[]
2,1018640,202207312330,1.24,564.26,[]
3,1018640,202207312320,1.23,550.83,[]
4,1018640,202207312310,1.22,466.62,[]
5,1018640,202207312300,1.21,391.00,[]
6,1018640,202207312250,1.20,411.14,[]
7,1018640,202207312240,1.20,390.37,[]
8,1018640,202207312230,1.19,356.57,[]
9,1018640,202207312220,1.19,402.18,[]
10,1018640,202207312210,1.18,389.11,[]
11,1018640,202207312200,1.18,343.58,[]
12,1018640,202207312150,1.18,306.32,[]
13,1018640,202207312140,1.17,260.37,[]
14,1018640,202207312130,1.17,330.62,[]
15,1018640,202207312120,1.17,359.55,[]
16,1018640,202207312110,1.17,376.08,[]
17,1018640,202207312100,1.16,371.35,[]
18,1018640,202207312050,1.16,387.85,[]
19,1018640,202207312040,1.15,387.22,[]
20,1018640,202207312030,1.15,432.53,[]
21,1018640,202207312020,1.15,362.50,[]
22,1018640,202207312010,1.15,333.67,[]
23,1018640,202207312000,1.15,337.79,[]
24,1018640,202207311950,1.14,337.24,[]
25,1018640,202207311940,1.14,337.24,[]
26,1018640,202207311930,1.14,316.68,[]
27,1018640,202207311920,1.14,316.68,[]
28,1018640,202207311910,1.14,308.45,[]
29,1018640,202207311900,1.14,312.56,[]
30,1018640,202207311850,1.14,308.45,[]
31,1018640,202207311840,1.14,300.22,[]
32,1018640,202207311830,1.14,341.35,[]
33,1018640,202207311820,1.14,304.34,[]
34,1018640,202207311810,1.14,304.34,[]
35,1018640,202207311800,1.14,316.68,[]
36,1018640,202207311750,1.14,308.45,[]
37,1018640,202207311740,1.14,320.79,[]
38,1018640,202207311730,1.14,341.35,[]
39,1018640,202207311720,1.14,341.35,[]
40,1018640,202207311710,1.14,329.01,[]
41,1018640,202207311700,1.14,341.35,[]
42,1018640,202207311650,1.14,337.24,[]
43,1018640,202207311640,1.14,333.13,[]
44,1018640,202207311630,1.14,308.45,[]
45,1018640,202207311620,1.14,320.79,[]
46,1018640,202207311610,1.14,337.24,[]
47,1018640,202207311600,1.14,349.58,[]
48,1018640,202207311550,1.13,385.96,[]
49,1018640,202207311540,1.13,402.39,[]
50,1018640,202207311530,1.13,402.39,[]
51,1018640,202207311520,1.13,373.64,[]
52,1018640,202207311510,1.13,385.96,[]
53,1018640,202207311500,1.13,365.43,[]
54,1018640,202207311450,1.13,361.33,[]
55,1018640,202207311440,1.13,353.11,[]
56,1018640,202207311430,1.13,353.11,[]
57,1018640,202207311420,1.13,324.37,[]
58,1018640,202207311410,1.13,328.48,[]
59,1018640,202207311400,1.13,312.05,[]
60,1018640,202207311350,1.13,320.27,[]
61,1018640,202207311340,1.13,340.80,[]
62,1018640,202207311330,1.13,332.58,[]
63,1018640,202207311320,1.13,353.11,[]
64,1018640,202207311310,1.13,353.11,[]
65,1018640,202207311300,1.13,361.33,[]
66,1018640,202207311250,1.13,349.01,[]
67,1018640,202207311240,1.13,398.28,[]
68,1018640,202207311230,1.13,418.81,[]
69,1018640,202207311220,1.13,418.81,[]
70,1018640,202207311210,1.13,394.17,[]
71,1018640,202207311200,1.14,386.59,[]
72,1018640,202207311150,1.14,361.91,[]
73,1018640,202207311140,1.14,374.25,[]
74,1018640,202207311130,1.14,370.14,[]
75,1018640,202207311120,1.15,378.98,[]
76,1018640,202207311110,1.16,416.73,[]
77,1018640,202207311100,1.16,424.99,[]
78,1018640,202207311050,1.16,457.99,[]
79,1018640,202207311040,1.17,458.74,[]
80,1018640,202207311030,1.17,475.27,[]
81,1018640,202207311020,1.17,467.00,[]
82,1018640,202207311010,1.18,492.60,[]
83,1018640,202207311000,1.18,496.74,[]
84,1018640,202207310950,1.18,496.74,[]
85,1018640,202207310940,1.18,480.18,[]
86,1018640,202207310930,1.19,485.10,[]
87,1018640,202207310920,1.19,472.66,[]
88,1018640,202207310910,1.20,477.58,[]
89,1018640,202207310900,1.20,469.28,[]
90,1018640,202207310850,1.20,473.43,[]
91,1018640,202207310840,1.21,474.19,[]
92,1018640,202207310830,1.21,494.99,[]
93,1018640,202207310820,1.22,499.95,[]
94,1018640,202207310810,1.22,454.13,[]
95,1018640,202207310800,1.22,462.46,[]
96,1018640,202207310750,1.23,463.20,[]
97,1018640,202207310740,1.23,479.89,[]
98,1018640,202207310730,1.23,546.66,[]
99,1018640,202207310720,1.23,588.39,[]
100,1018640,202207310710,1.23,571.70,[]
101,1018640,202207310700,1.23,567.53,[]
102,1018640,202207310650,1.23,517.45,[]
103,1018640,202207310640,1.23,529.97,[]
104,1018640,202207310630,1.23,517.45,[]
105,1018640,202207310620,1.23,504.93,[]
106,1018640,202207310610,1.23,500.76,[]
107,1018640,202207310600,1.23,475.72,[]
108,1018640,202207310550,1.23,471.55,[]
109,1018640,202207310540,1.23,463.20,[]
110,1018640,202207310530,1.23,417.30,[]
111,1018640,202207310520,1.23,408.95,[]
112,1018640,202207310510,1.22,437.46,[]
113,1018640,202207310500,1.22,474.96,[]
114,1018640,202207310450,1.22,408.30,[]
115,1018640,202207310440,1.22,495.79,[]
116,1018640,202207310430,1.22,529.12,[]
117,1018640,202207310420,1.22,487.46,[]
118,1018640,202207310410,1.22,466.62,[]
119,1018640,202207310400,1.22,454.13,[]
120,1018640,202207310350,1.22,416.63,[]
121,1018640,202207310340,1.22,354.13,[]
122,1018640,202207310330,1.22,395.80,[]
123,1018640,202207310320,1.21,391.00,[]
124,1018640,202207310310,1.21,391.00,[]
125,1018640,202207310300,1.21,432.60,[]
126,1018640,202207310250,1.21,461.71,[]
127,1018640,202207310240,1.21,382.68,[]
128,1018640,202207310230,1.21,382.68,[]
129,1018640,202207310220,1.21,341.09,[]
130,1018640,202207310210,1.21,320.29,[]
131,1018640,202207310200,1.21,341.09,[]
132,1018640,202207310150,1.21,407.64,[]
133,1018640,202207310140,1.21,411.80,[]
134,1018640,202207310130,1.20,365.45,[]
135,1018640,202207310120,1.20,303.16,[]
136,1018640,202207310110,1.20,344.69,[]
137,1018640,202207310100,1.20,332.23,[]
138,1018640,202207310050,1.20,344.69,[]
139,1018640,202207310040,1.20,274.09,[]
140,1018640,202207310030,1.20,282.40,[]
141,1018640,202207310020,1.20,357.15,[]
142,1018640,202207310010,1.20,423.59,[]
143,1018640,202207310000,1.19,431.20,[]
144,1018640,202207302350,1.19,389.74,[]
145,1018640,202207302340,1.19,323.40,[]
