,wlobscd,ymdhm,wl,fw,links
0,1018640,202205312350,1.00,156.74,[]
1,1018640,202205312340,1.00,152.72,[]
2,1018640,202205312330,1.00,156.74,[]
3,1018640,202205312320,1.00,160.76,[]
4,1018640,202205312310,0.99,148.45,[]
5,1018640,202205312300,0.99,152.46,[]
6,1018640,202205312250,0.99,144.44,[]
7,1018640,202205312240,0.99,140.43,[]
8,1018640,202205312230,0.99,156.48,[]
9,1018640,202205312220,0.99,160.49,[]
10,1018640,202205312210,0.99,144.44,[]
11,1018640,202205312200,0.99,156.48,[]
12,1018640,202205312150,0.99,164.50,[]
13,1018640,202205312140,0.98,156.21,[]
14,1018640,202205312130,0.98,152.21,[]
15,1018640,202205312120,0.98,152.21,[]
16,1018640,202205312110,0.98,140.19,[]
17,1018640,202205312100,0.98,136.19,[]
18,1018640,202205312050,0.98,136.19,[]
19,1018640,202205312040,0.98,136.19,[]
20,1018640,202205312030,0.98,140.19,[]
21,1018640,202205312020,0.97,139.96,[]
22,1018640,202205312010,0.97,139.96,[]
23,1018640,202205312000,0.97,151.95,[]
24,1018640,202205311950,0.96,139.72,[]
25,1018640,202205311940,0.96,131.74,[]
26,1018640,202205311930,0.96,119.76,[]
27,1018640,202205311920,0.96,123.75,[]
28,1018640,202205311910,0.96,107.79,[]
29,1018640,202205311900,0.96,111.78,[]
30,1018640,202205311850,0.95,119.56,[]
31,1018640,202205311840,0.95,107.61,[]
32,1018640,202205311830,0.95,107.61,[]
33,1018640,202205311820,0.95,127.53,[]
34,1018640,202205311810,0.95,127.53,[]
35,1018640,202205311800,0.94,123.34,[]
36,1018640,202205311750,0.94,135.28,[]
37,1018640,202205311740,0.94,123.34,[]
38,1018640,202205311730,0.93,111.22,[]
39,1018640,202205311720,0.93,107.24,[]
40,1018640,202205311710,0.92,103.10,[]
41,1018640,202205311700,0.92,111.03,[]
42,1018640,202205311650,0.92,111.03,[]
43,1018640,202205311640,0.92,107.06,[]
44,1018640,202205311630,0.92,126.89,[]
45,1018640,202205311620,0.91,138.55,[]
46,1018640,202205311610,0.92,150.68,[]
47,1018640,202205311600,0.91,146.47,[]
48,1018640,202205311550,0.91,158.34,[]
49,1018640,202205311540,0.91,146.47,[]
50,1018640,202205311530,0.91,146.47,[]
51,1018640,202205311520,0.91,118.76,[]
52,1018640,202205311510,0.91,130.63,[]
53,1018640,202205311500,0.91,134.59,[]
54,1018640,202205311450,0.91,138.55,[]
55,1018640,202205311440,0.91,138.55,[]
56,1018640,202205311430,0.91,134.59,[]
57,1018640,202205311420,0.91,130.63,[]
58,1018640,202205311410,0.91,130.63,[]
59,1018640,202205311400,0.90,130.41,[]
60,1018640,202205311350,0.90,122.51,[]
61,1018640,202205311340,0.90,114.61,[]
62,1018640,202205311330,0.91,122.72,[]
63,1018640,202205311320,0.91,122.72,[]
64,1018640,202205311310,0.91,134.59,[]
65,1018640,202205311300,0.90,122.51,[]
66,1018640,202205311250,0.90,106.70,[]
67,1018640,202205311240,0.90,118.56,[]
68,1018640,202205311230,0.89,118.36,[]
69,1018640,202205311220,0.89,110.47,[]
70,1018640,202205311210,0.89,102.58,[]
71,1018640,202205311200,0.89,106.52,[]
72,1018640,202205311150,0.89,98.63,[]
73,1018640,202205311140,0.89,102.58,[]
74,1018640,202205311130,0.89,114.41,[]
75,1018640,202205311120,0.89,118.36,[]
76,1018640,202205311110,0.88,122.10,[]
77,1018640,202205311100,0.88,141.79,[]
78,1018640,202205311050,0.86,137.38,[]
79,1018640,202205311040,0.85,121.47,[]
80,1018640,202205311030,0.85,109.72,[]
81,1018640,202205311020,0.86,109.90,[]
82,1018640,202205311010,0.86,105.98,[]
83,1018640,202205311000,0.87,106.16,[]
84,1018640,202205310950,0.86,149.16,[]
85,1018640,202205310940,0.89,216.99,[]
86,1018640,202205310930,0.91,312.73,[]
87,1018640,202205310920,0.89,583.90,[]
88,1018640,202205310910,0.90,576.98,[]
89,1018640,202205310900,0.91,570.04,[]
90,1018640,202205310850,0.92,578.94,[]
91,1018640,202205310840,0.92,531.35,[]
92,1018640,202205310830,0.92,519.46,[]
93,1018640,202205310820,0.95,394.55,[]
94,1018640,202205310810,1.02,129.03,[]
95,1018640,202205310800,1.01,112.72,[]
96,1018640,202205310750,1.01,132.84,[]
97,1018640,202205310740,1.01,128.82,[]
98,1018640,202205310730,1.01,132.84,[]
99,1018640,202205310720,1.01,136.87,[]
100,1018640,202205310710,1.01,136.87,[]
101,1018640,202205310700,1.01,132.84,[]
102,1018640,202205310650,1.01,128.82,[]
103,1018640,202205310640,1.01,132.84,[]
104,1018640,202205310630,1.01,128.82,[]
105,1018640,202205310620,1.01,128.82,[]
106,1018640,202205310610,1.01,132.84,[]
107,1018640,202205310600,1.01,140.89,[]
108,1018640,202205310550,1.01,132.84,[]
109,1018640,202205310540,1.01,144.92,[]
110,1018640,202205310530,1.01,144.92,[]
111,1018640,202205310520,1.01,136.87,[]
112,1018640,202205310510,1.01,136.87,[]
113,1018640,202205310500,1.01,132.84,[]
114,1018640,202205310450,1.01,144.92,[]
115,1018640,202205310440,1.00,136.64,[]
116,1018640,202205310430,1.00,140.66,[]
117,1018640,202205310420,1.00,144.68,[]
118,1018640,202205310410,1.00,148.70,[]
119,1018640,202205310400,1.00,144.68,[]
120,1018640,202205310350,1.00,148.70,[]
121,1018640,202205310340,1.00,148.70,[]
122,1018640,202205310330,1.00,140.66,[]
123,1018640,202205310320,1.00,136.64,[]
124,1018640,202205310310,1.00,148.70,[]
125,1018640,202205310300,1.00,136.64,[]
126,1018640,202205310250,1.00,144.68,[]
127,1018640,202205310240,1.00,144.68,[]
128,1018640,202205310230,1.00,144.68,[]
129,1018640,202205310220,1.00,144.68,[]
130,1018640,202205310210,1.00,140.66,[]
131,1018640,202205310200,1.00,144.68,[]
132,1018640,202205310150,1.00,140.66,[]
133,1018640,202205310140,1.00,140.66,[]
134,1018640,202205310130,1.00,140.66,[]
135,1018640,202205310120,1.00,140.66,[]
136,1018640,202205310110,0.99,136.41,[]
137,1018640,202205310100,0.99,136.41,[]
138,1018640,202205310050,0.98,128.18,[]
139,1018640,202205310040,0.98,128.18,[]
140,1018640,202205310030,0.98,140.19,[]
141,1018640,202205310020,0.98,144.20,[]
142,1018640,202205310010,0.98,136.19,[]
143,1018640,202205310000,0.98,136.19,[]
144,1018640,202205302350,0.98,136.19,[]
145,1018640,202205302340,0.98,136.19,[]
146,1018640,202205302330,0.97,131.96,[]
147,1018640,202205302320,0.97,127.96,[]
148,1018640,202205302310,0.97,127.96,[]
149,1018640,202205302300,0.97,131.96,[]
150,1018640,202205302250,0.97,123.96,[]
151,1018640,202205302240,0.96,123.75,[]
152,1018640,202205302230,0.96,115.77,[]
153,1018640,202205302220,0.96,119.76,[]
154,1018640,202205302210,0.96,119.76,[]
155,1018640,202205302200,0.96,115.77,[]
156,1018640,202205302150,0.95,119.56,[]
157,1018640,202205302140,0.95,119.56,[]
158,1018640,202205302130,0.95,119.56,[]
159,1018640,202205302120,0.95,123.55,[]
160,1018640,202205302110,0.95,123.55,[]
161,1018640,202205302100,0.94,127.32,[]
