,wlobscd,ymdhm,wl,fw,links
0,1018610,202009302350,1.13,215.31,[]
1,1018610,202009302340,1.14,223.12,[]
2,1018610,202009302330,1.15,231.03,[]
3,1018610,202009302320,1.16,239.04,[]
4,1018610,202009302310,1.17,247.15,[]
5,1018610,202009302300,1.19,263.67,[]
6,1018610,202009302250,1.20,272.07,[]
7,1018610,202009302240,1.22,289.18,[]
8,1018610,202009302230,1.23,297.87,[]
9,1018610,202009302220,1.25,315.55,[]
10,1018610,202009302210,1.27,333.60,[]
11,1018610,202009302200,1.29,352.01,[]
12,1018610,202009302150,1.30,361.36,[]
13,1018610,202009302140,1.30,361.36,[]
14,1018610,202009302130,1.30,361.36,[]
15,1018610,202009302120,1.29,352.01,[]
16,1018610,202009302110,1.29,352.01,[]
17,1018610,202009302100,1.29,352.01,[]
18,1018610,202009302050,1.28,342.76,[]
19,1018610,202009302040,1.28,342.76,[]
20,1018610,202009302030,1.27,333.60,[]
21,1018610,202009302020,1.26,324.53,[]
22,1018610,202009302010,1.25,315.55,[]
23,1018610,202009302000,1.24,306.66,[]
24,1018610,202009301950,1.22,289.18,[]
25,1018610,202009301940,1.21,280.58,[]
26,1018610,202009301930,1.20,272.07,[]
27,1018610,202009301920,1.19,263.67,[]
28,1018610,202009301910,1.19,263.67,[]
29,1018610,202009301900,1.19,263.67,[]
30,1018610,202009301850,1.19,263.67,[]
31,1018610,202009301840,1.19,263.67,[]
32,1018610,202009301830,1.19,263.67,[]
33,1018610,202009301820,1.19,263.67,[]
34,1018610,202009301810,1.19,263.67,[]
35,1018610,202009301800,1.19,263.67,[]
36,1018610,202009301750,1.19,263.67,[]
37,1018610,202009301740,1.19,263.67,[]
38,1018610,202009301730,1.19,263.67,[]
39,1018610,202009301720,1.19,263.67,[]
40,1018610,202009301710,1.19,263.67,[]
41,1018610,202009301700,1.19,263.67,[]
42,1018610,202009301650,1.19,263.67,[]
43,1018610,202009301640,1.19,263.67,[]
44,1018610,202009301630,1.19,263.67,[]
45,1018610,202009301620,1.19,263.67,[]
46,1018610,202009301610,1.19,263.67,[]
47,1018610,202009301600,1.19,263.67,[]
48,1018610,202009301550,1.19,263.67,[]
49,1018610,202009301540,1.19,263.67,[]
50,1018610,202009301530,1.19,263.67,[]
51,1018610,202009301520,1.19,263.67,[]
52,1018610,202009301510,1.19,263.67,[]
53,1018610,202009301500,1.19,263.67,[]
54,1018610,202009301450,1.19,263.67,[]
55,1018610,202009301440,1.19,263.67,[]
56,1018610,202009301430,1.19,263.67,[]
57,1018610,202009301420,1.19,263.67,[]
58,1018610,202009301410,1.19,263.67,[]
59,1018610,202009301400,1.19,263.67,[]
60,1018610,202009301350,1.19,263.67,[]
61,1018610,202009301340,1.19,263.67,[]
62,1018610,202009301330,1.19,263.67,[]
63,1018610,202009301320,1.19,263.67,[]
64,1018610,202009301310,1.19,263.67,[]
65,1018610,202009301300,1.19,263.67,[]
66,1018610,202009301250,1.19,263.67,[]
67,1018610,202009301240,1.19,263.67,[]
68,1018610,202009301230,1.19,263.67,[]
69,1018610,202009301220,1.19,263.67,[]
70,1018610,202009301210,1.19,263.67,[]
71,1018610,202009301200,1.19,263.67,[]
72,1018610,202009301150,1.19,263.67,[]
73,1018610,202009301140,1.19,263.67,[]
74,1018610,202009301130,1.19,263.67,[]
75,1018610,202009301120,1.19,263.67,[]
76,1018610,202009301110,1.19,263.67,[]
77,1018610,202009301100,1.19,263.67,[]
78,1018610,202009301050,1.19,263.67,[]
79,1018610,202009301040,1.19,263.67,[]
80,1018610,202009301030,1.19,263.67,[]
81,1018610,202009301020,1.19,263.67,[]
82,1018610,202009301010,1.19,263.67,[]
83,1018610,202009301000,1.20,272.07,[]
84,1018610,202009300950,1.20,272.07,[]
85,1018610,202009300940,1.20,272.07,[]
86,1018610,202009300930,1.20,272.07,[]
87,1018610,202009300920,1.20,272.07,[]
88,1018610,202009300910,1.20,272.07,[]
89,1018610,202009300900,1.20,272.07,[]
90,1018610,202009300850,1.21,280.58,[]
91,1018610,202009300840,1.21,280.58,[]
92,1018610,202009300830,1.21,280.58,[]
93,1018610,202009300820,1.22,289.18,[]
94,1018610,202009300810,1.22,289.18,[]
95,1018610,202009300800,1.23,297.87,[]
96,1018610,202009300750,1.24,306.66,[]
97,1018610,202009300740,1.25,315.55,[]
98,1018610,202009300730,1.26,324.53,[]
99,1018610,202009300720,1.27,333.60,[]
100,1018610,202009300710,1.27,333.60,[]
101,1018610,202009300700,1.31,370.79,[]
102,1018610,202009300650,1.31,370.79,[]
103,1018610,202009300640,1.32,380.32,[]
104,1018610,202009300630,1.34,399.63,[]
105,1018610,202009300620,1.36,419.29,[]
106,1018610,202009300610,1.37,429.26,[]
107,1018610,202009300600,1.37,429.26,[]
108,1018610,202009300550,1.37,429.26,[]
109,1018610,202009300540,1.37,429.26,[]
110,1018610,202009300530,1.37,429.26,[]
111,1018610,202009300520,1.37,429.26,[]
112,1018610,202009300510,1.37,429.26,[]
113,1018610,202009300500,1.37,429.26,[]
114,1018610,202009300450,1.37,429.26,[]
115,1018610,202009300440,1.37,429.26,[]
116,1018610,202009300430,1.37,429.26,[]
117,1018610,202009300420,1.37,429.26,[]
