,wlobscd,ymdhm,wl,fw,links
0,1018640,202109302350,1.19,306.82,[]
1,1018640,202109302340,1.19,290.23,[]
2,1018640,202109302330,1.19,306.82,[]
3,1018640,202109302320,1.19,286.09,[]
4,1018640,202109302310,1.19,294.38,[]
5,1018640,202109302300,1.19,315.11,[]
6,1018640,202109302250,1.19,286.09,[]
7,1018640,202109302240,1.19,315.11,[]
8,1018640,202109302230,1.19,319.26,[]
9,1018640,202109302220,1.19,352.43,[]
10,1018640,202109302210,1.19,348.28,[]
11,1018640,202109302200,1.19,319.26,[]
12,1018640,202109302150,1.19,281.94,[]
13,1018640,202109302140,1.19,281.94,[]
14,1018640,202109302130,1.19,240.48,[]
15,1018640,202109302120,1.19,178.29,[]
16,1018640,202109302110,1.18,173.86,[]
17,1018640,202109302100,1.18,178.00,[]
18,1018640,202109302050,1.18,178.00,[]
19,1018640,202109302040,1.18,173.86,[]
20,1018640,202109302030,1.18,173.86,[]
21,1018640,202109302020,1.18,178.00,[]
22,1018640,202109302010,1.18,194.56,[]
23,1018640,202109302000,1.18,165.58,[]
24,1018640,202109301950,1.18,165.58,[]
25,1018640,202109301940,1.18,173.86,[]
26,1018640,202109301930,1.18,165.58,[]
27,1018640,202109301920,1.18,178.00,[]
28,1018640,202109301910,1.18,182.14,[]
29,1018640,202109301900,1.18,178.00,[]
30,1018640,202109301850,1.18,215.25,[]
31,1018640,202109301840,1.18,194.56,[]
32,1018640,202109301830,1.18,202.83,[]
33,1018640,202109301820,1.18,211.11,[]
34,1018640,202109301810,1.18,202.83,[]
35,1018640,202109301800,1.18,194.56,[]
36,1018640,202109301750,1.18,202.83,[]
37,1018640,202109301740,1.17,194.24,[]
38,1018640,202109301730,1.17,185.98,[]
39,1018640,202109301720,1.17,206.64,[]
40,1018640,202109301710,1.17,206.64,[]
41,1018640,202109301700,1.17,223.17,[]
42,1018640,202109301650,1.17,214.90,[]
43,1018640,202109301640,1.17,231.44,[]
44,1018640,202109301630,1.17,247.97,[]
45,1018640,202109301620,1.17,223.17,[]
46,1018640,202109301610,1.17,210.77,[]
47,1018640,202109301600,1.17,202.51,[]
48,1018640,202109301550,1.16,177.42,[]
49,1018640,202109301540,1.16,214.56,[]
50,1018640,202109301530,1.16,189.80,[]
51,1018640,202109301520,1.16,181.55,[]
52,1018640,202109301510,1.16,185.67,[]
53,1018640,202109301500,1.16,198.05,[]
54,1018640,202109301450,1.16,198.05,[]
55,1018640,202109301440,1.15,177.13,[]
56,1018640,202109301430,1.15,205.97,[]
57,1018640,202109301420,1.15,185.37,[]
58,1018640,202109301410,1.14,180.96,[]
59,1018640,202109301400,1.14,172.73,[]
60,1018640,202109301350,1.14,176.84,[]
61,1018640,202109301340,1.14,176.84,[]
62,1018640,202109301330,1.14,189.18,[]
63,1018640,202109301320,1.14,176.84,[]
64,1018640,202109301310,1.13,172.45,[]
65,1018640,202109301300,1.13,172.45,[]
66,1018640,202109301250,1.12,163.97,[]
67,1018640,202109301240,1.12,163.97,[]
68,1018640,202109301230,1.12,163.97,[]
69,1018640,202109301220,1.12,159.87,[]
70,1018640,202109301210,1.12,163.97,[]
71,1018640,202109301200,1.12,155.77,[]
72,1018640,202109301150,1.11,155.52,[]
73,1018640,202109301140,1.11,155.52,[]
74,1018640,202109301130,1.10,159.35,[]
75,1018640,202109301120,1.09,167.25,[]
76,1018640,202109301110,1.09,171.33,[]
77,1018640,202109301100,1.08,162.90,[]
78,1018640,202109301050,1.08,162.90,[]
79,1018640,202109301040,1.08,158.83,[]
80,1018640,202109301030,1.08,154.75,[]
81,1018640,202109301020,1.08,162.90,[]
82,1018640,202109301010,1.08,158.83,[]
83,1018640,202109301000,1.08,166.97,[]
