,wlobscd,ymdhm,wl,fw,links
0,1018610,201805312350,1.68,778.52,[]
1,1018610,201805312340,1.68,778.52,[]
2,1018610,201805312330,1.68,778.52,[]
3,1018610,201805312320,1.68,778.52,[]
4,1018610,201805312310,1.68,778.52,[]
5,1018610,201805312300,1.68,778.52,[]
6,1018610,201805312250,1.68,778.52,[]
7,1018610,201805312240,1.68,778.52,[]
8,1018610,201805312230,1.68,778.52,[]
9,1018610,201805312220,1.68,778.52,[]
10,1018610,201805312210,1.68,778.52,[]
11,1018610,201805312200,1.68,778.52,[]
12,1018610,201805312150,1.68,778.52,[]
13,1018610,201805312140,1.68,778.52,[]
14,1018610,201805312130,1.69,791.02,[]
15,1018610,201805312120,1.71,816.24,[]
16,1018610,201805312110,1.72,828.96,[]
17,1018610,201805312100,1.72,828.96,[]
18,1018610,201805312050,1.71,816.24,[]
19,1018610,201805312040,1.71,816.24,[]
20,1018610,201805312030,1.71,816.24,[]
21,1018610,201805312020,1.71,816.24,[]
22,1018610,201805312010,1.71,816.24,[]
23,1018610,201805312000,1.71,816.24,[]
24,1018610,201805311950,1.71,816.24,[]
25,1018610,201805311940,1.71,816.24,[]
26,1018610,201805311930,1.71,816.24,[]
27,1018610,201805311920,1.71,816.24,[]
28,1018610,201805311910,1.71,816.24,[]
29,1018610,201805311900,1.71,816.24,[]
30,1018610,201805311850,1.71,816.24,[]
31,1018610,201805311840,1.71,816.24,[]
32,1018610,201805311830,1.71,816.24,[]
33,1018610,201805311820,1.71,816.24,[]
34,1018610,201805311810,1.71,816.24,[]
35,1018610,201805311800,1.71,816.24,[]
36,1018610,201805311750,1.71,816.24,[]
37,1018610,201805311740,1.71,816.24,[]
38,1018610,201805311730,1.71,816.24,[]
39,1018610,201805311720,1.71,816.24,[]
40,1018610,201805311710,1.71,816.24,[]
41,1018610,201805311700,1.71,816.24,[]
42,1018610,201805311650,1.71,816.24,[]
43,1018610,201805311640,1.71,816.24,[]
44,1018610,201805311630,1.71,816.24,[]
45,1018610,201805311620,1.71,816.24,[]
46,1018610,201805311610,1.71,816.24,[]
47,1018610,201805311600,1.71,816.24,[]
48,1018610,201805311550,1.71,816.24,[]
49,1018610,201805311540,1.71,816.24,[]
50,1018610,201805311530,1.70,803.60,[]
51,1018610,201805311520,1.70,803.60,[]
52,1018610,201805311510,1.69,791.02,[]
53,1018610,201805311500,1.67,766.09,[]
54,1018610,201805311450,1.65,741.46,[]
55,1018610,201805311440,1.62,705.07,[]
56,1018610,201805311430,1.57,645.94,[]
57,1018610,201805311420,1.56,634.35,[]
58,1018610,201805311410,1.56,634.35,[]
59,1018610,201805311400,1.57,645.94,[]
60,1018610,201805311350,1.58,657.62,[]
61,1018610,201805311340,1.61,693.10,[]
62,1018610,201805311330,1.63,717.13,[]
63,1018610,201805311320,1.65,741.46,[]
64,1018610,201805311310,1.67,766.09,[]
65,1018610,201805311300,1.67,766.09,[]
66,1018610,201805311250,1.65,741.46,[]
67,1018610,201805311240,1.64,729.26,[]
68,1018610,201805311230,1.65,741.46,[]
69,1018610,201805311220,1.65,741.46,[]
70,1018610,201805311210,1.65,741.46,[]
71,1018610,201805311200,1.66,753.74,[]
72,1018610,201805311150,1.66,753.74,[]
73,1018610,201805311140,1.66,753.74,[]
74,1018610,201805311130,1.66,753.74,[]
75,1018610,201805311120,1.67,766.09,[]
76,1018610,201805311110,1.67,766.09,[]
77,1018610,201805311100,1.68,778.52,[]
78,1018610,201805311050,1.69,791.02,[]
79,1018610,201805311040,1.69,791.02,[]
80,1018610,201805311030,1.70,803.60,[]
81,1018610,201805311020,1.70,803.60,[]
82,1018610,201805311010,1.70,803.60,[]
83,1018610,201805311000,1.71,816.24,[]
