,wlobscd,ymdhm,wl,fw,links
0,1018640,201710312350,1.05,123.12,[]
1,1018640,201710312340,1.05,126.97,[]
2,1018640,201710312330,1.05,126.97,[]
3,1018640,201710312320,1.05,130.82,[]
4,1018640,201710312310,1.05,126.97,[]
5,1018640,201710312300,1.05,130.82,[]
6,1018640,201710312250,1.05,130.82,[]
7,1018640,201710312240,1.04,130.59,[]
8,1018640,201710312230,1.04,126.75,[]
9,1018640,201710312220,1.04,126.75,[]
10,1018640,201710312210,1.04,126.75,[]
11,1018640,201710312200,1.04,126.75,[]
12,1018640,201710312150,1.04,119.07,[]
13,1018640,201710312140,1.04,119.07,[]
14,1018640,201710312130,1.04,119.07,[]
15,1018640,201710312120,1.04,119.07,[]
16,1018640,201710312110,1.04,126.75,[]
17,1018640,201710312100,1.04,126.75,[]
18,1018640,201710312050,1.04,126.75,[]
19,1018640,201710312040,1.04,126.75,[]
20,1018640,201710312030,1.04,122.91,[]
21,1018640,201710312020,1.04,122.91,[]
22,1018640,201710312010,1.04,126.75,[]
23,1018640,201710312000,1.04,119.07,[]
24,1018640,201710311950,1.04,119.07,[]
25,1018640,201710311940,1.04,119.07,[]
26,1018640,201710311930,1.04,122.91,[]
27,1018640,201710311920,1.04,126.75,[]
28,1018640,201710311910,1.04,115.23,[]
29,1018640,201710311900,1.04,134.43,[]
30,1018640,201710311850,1.04,126.75,[]
31,1018640,201710311840,1.04,126.75,[]
32,1018640,201710311830,1.04,126.75,[]
33,1018640,201710311820,1.04,122.91,[]
34,1018640,201710311810,1.04,119.07,[]
35,1018640,201710311800,1.04,122.91,[]
36,1018640,201710311750,1.04,126.75,[]
37,1018640,201710311740,1.04,126.75,[]
38,1018640,201710311730,1.04,130.59,[]
39,1018640,201710311720,1.03,122.70,[]
40,1018640,201710311710,1.03,118.86,[]
41,1018640,201710311700,1.03,115.03,[]
42,1018640,201710311650,1.04,122.91,[]
43,1018640,201710311640,1.04,130.59,[]
44,1018640,201710311630,1.04,130.59,[]
45,1018640,201710311620,1.04,130.59,[]
46,1018640,201710311610,1.04,134.43,[]
47,1018640,201710311600,1.04,145.96,[]
48,1018640,201710311550,1.03,157.21,[]
49,1018640,201710311540,1.03,149.54,[]
50,1018640,201710311530,1.02,141.62,[]
51,1018640,201710311520,1.02,141.62,[]
52,1018640,201710311510,1.03,149.54,[]
53,1018640,201710311500,1.03,153.37,[]
54,1018640,201710311450,1.03,138.04,[]
55,1018640,201710311440,1.04,142.12,[]
56,1018640,201710311430,1.04,142.12,[]
57,1018640,201710311420,1.03,157.21,[]
58,1018640,201710311410,1.03,161.04,[]
59,1018640,201710311400,1.03,164.88,[]
60,1018640,201710311350,1.03,157.21,[]
61,1018640,201710311340,1.03,157.21,[]
62,1018640,201710311330,1.03,161.04,[]
63,1018640,201710311320,1.04,153.64,[]
64,1018640,201710311310,1.05,130.82,[]
65,1018640,201710311300,1.05,130.82,[]
66,1018640,201710311250,1.05,126.97,[]
67,1018640,201710311240,1.05,119.28,[]
68,1018640,201710311230,1.05,119.28,[]
