,wlobscd,ymdhm,wl,fw,links
0,1018610,201909302350,1.24,306.66,[]
1,1018610,201909302340,1.30,361.36,[]
2,1018610,201909302330,1.34,399.63,[]
3,1018610,201909302320,1.34,399.63,[]
4,1018610,201909302310,1.34,399.63,[]
5,1018610,201909302300,1.34,399.63,[]
6,1018610,201909302250,1.34,399.63,[]
7,1018610,201909302240,1.34,399.63,[]
8,1018610,201909302230,1.34,399.63,[]
9,1018610,201909302220,1.34,399.63,[]
10,1018610,201909302210,1.34,399.63,[]
11,1018610,201909302200,1.34,399.63,[]
12,1018610,201909302150,1.34,399.63,[]
13,1018610,201909302140,1.30,361.36,[]
14,1018610,201909302130,1.30,361.36,[]
15,1018610,201909302120,1.30,361.36,[]
16,1018610,201909302110,1.30,361.36,[]
17,1018610,201909302100,1.30,361.36,[]
18,1018610,201909302050,1.30,361.36,[]
19,1018610,201909302040,1.40,459.66,[]
20,1018610,201909302030,1.40,459.66,[]
21,1018610,201909302020,1.40,459.66,[]
22,1018610,201909302010,1.40,459.66,[]
23,1018610,201909302000,1.44,501.37,[]
24,1018610,201909301950,1.44,501.37,[]
25,1018610,201909301940,1.50,566.42,[]
26,1018610,201909301930,1.54,611.39,[]
27,1018610,201909301920,1.50,566.42,[]
28,1018610,201909301910,1.50,566.42,[]
29,1018610,201909301900,1.54,611.39,[]
30,1018610,201909301850,1.54,611.39,[]
31,1018610,201909301840,1.54,611.39,[]
32,1018610,201909301830,1.54,611.39,[]
33,1018610,201909301820,1.54,611.39,[]
34,1018610,201909301810,1.54,611.39,[]
35,1018610,201909301800,1.54,611.39,[]
36,1018610,201909301750,1.54,611.39,[]
37,1018610,201909301740,1.54,611.39,[]
38,1018610,201909301730,1.54,611.39,[]
39,1018610,201909301720,1.54,611.39,[]
40,1018610,201909301710,1.54,611.39,[]
41,1018610,201909301700,1.54,611.39,[]
42,1018610,201909301650,1.54,611.39,[]
43,1018610,201909301640,1.54,611.39,[]
44,1018610,201909301630,1.54,611.39,[]
45,1018610,201909301620,1.54,611.39,[]
46,1018610,201909301610,1.54,611.39,[]
47,1018610,201909301600,1.54,611.39,[]
48,1018610,201909301550,1.54,611.39,[]
49,1018610,201909301540,1.54,611.39,[]
50,1018610,201909301530,1.54,611.39,[]
51,1018610,201909301520,1.54,611.39,[]
52,1018610,201909301510,1.54,611.39,[]
53,1018610,201909301500,1.54,611.39,[]
54,1018610,201909301450,1.54,611.39,[]
55,1018610,201909301440,1.54,611.39,[]
56,1018610,201909301430,1.54,611.39,[]
57,1018610,201909301420,1.54,611.39,[]
58,1018610,201909301410,1.54,611.39,[]
59,1018610,201909301400,1.54,611.39,[]
60,1018610,201909301350,1.54,611.39,[]
61,1018610,201909301340,1.54,611.39,[]
62,1018610,201909301330,1.54,611.39,[]
63,1018610,201909301320,1.54,611.39,[]
64,1018610,201909301310,1.54,611.39,[]
65,1018610,201909301300,1.54,611.39,[]
66,1018610,201909301250,1.54,611.39,[]
67,1018610,201909301240,1.54,611.39,[]
68,1018610,201909301230,1.54,611.39,[]
69,1018610,201909301220,1.54,611.39,[]
70,1018610,201909301210,1.54,611.39,[]
71,1018610,201909301200,1.54,611.39,[]
72,1018610,201909301150,1.54,611.39,[]
73,1018610,201909301140,1.54,611.39,[]
74,1018610,201909301130,1.54,611.39,[]
75,1018610,201909301120,1.54,611.39,[]
76,1018610,201909301110,1.54,611.39,[]
77,1018610,201909301100,1.54,611.39,[]
78,1018610,201909301050,1.54,611.39,[]
79,1018610,201909301040,1.54,611.39,[]
80,1018610,201909301030,1.54,611.39,[]
81,1018610,201909301020,1.54,611.39,[]
82,1018610,201909301010,1.54,611.39,[]
83,1018610,201909301000,1.54,611.39,[]
84,1018610,201909300950,1.54,611.39,[]
85,1018610,201909300940,1.54,611.39,[]
86,1018610,201909300930,1.50,566.42,[]
87,1018610,201909300920,1.50,566.42,[]
88,1018610,201909300910,1.40,459.66,[]
89,1018610,201909300900,1.44,501.37,[]
90,1018610,201909300850,1.40,459.66,[]
91,1018610,201909300840,1.34,399.63,[]
92,1018610,201909300830,1.20,272.07,[]
93,1018610,201909300820,1.20,272.07,[]
94,1018610,201909300810,1.20,272.07,[]
95,1018610,201909300800,1.20,272.07,[]
96,1018610,201909300750,1.24,306.66,[]
97,1018610,201909300740,1.24,306.66,[]
98,1018610,201909300730,1.20,272.07,[]
99,1018610,201909300720,1.20,272.07,[]
100,1018610,201909300710,1.20,272.07,[]
101,1018610,201909300700,1.20,272.07,[]
102,1018610,201909300650,1.20,272.07,[]
103,1018610,201909300640,1.20,272.07,[]
104,1018610,201909300630,1.20,272.07,[]
105,1018610,201909300620,1.20,272.07,[]
106,1018610,201909300610,1.20,272.07,[]
107,1018610,201909300600,1.20,272.07,[]
108,1018610,201909300550,1.20,272.07,[]
109,1018610,201909300540,1.20,272.07,[]
110,1018610,201909300530,1.20,272.07,[]
111,1018610,201909300520,1.20,272.07,[]
112,1018610,201909300510,1.20,272.07,[]
113,1018610,201909300500,1.20,272.07,[]
114,1018610,201909300450,1.20,272.07,[]
115,1018610,201909300440,1.20,272.07,[]
116,1018610,201909300430,1.20,272.07,[]
117,1018610,201909300420,1.20,272.07,[]
118,1018610,201909300410,1.20,272.07,[]
119,1018610,201909300400,1.20,272.07,[]
120,1018610,201909300350,1.20,272.07,[]
121,1018610,201909300340,1.20,272.07,[]
122,1018610,201909300330,1.20,272.07,[]
